hPossesion,aPossesion,hshotsOnTarget,ashotsOnTarget,hshots,ashots,hfouls,afouls,hsaves,asaves,label
72,28,15,3,27,4,10,16,3,9,1
66,34,8,1,17,4,14,23,0,4,1
33,67,3,5,16,16,14,14,2,3,2
62,38,10,4,24,14,13,13,2,8,0
63,37,6,2,16,9,11,12,1,4,1
26,74,5,6,7,17,10,12,1,2,2
55,45,8,3,29,7,11,6,2,7,0
61,39,9,2,23,9,7,7,2,7,1
62,38,9,2,22,6,12,8,2,7,1
58,42,5,7,14,17,20,21,2,3,2
22,78,1,12,3,25,20,12,4,1,2
42,58,4,3,10,16,18,12,3,2,1
75,25,10,4,26,5,11,10,4,8,1
31,69,0,6,4,14,18,16,6,0,0
45,55,5,1,10,7,9,20,0,2,1
68,32,3,2,19,6,12,13,2,2,1
41,59,4,6,11,14,23,19,6,2,1
67,33,3,3,11,4,13,13,2,3,0
50,50,8,1,19,7,16,21,1,6,1
62,38,5,5,9,17,13,14,2,3,2
68,32,9,2,24,9,23,21,2,6,1
79,21,9,1,20,1,7,15,1,8,1
39,61,3,5,6,16,26,5,3,1,0
27,73,5,13,13,27,13,8,11,3,0
17,83,0,6,2,19,19,7,5,0,2
36,64,0,5,1,20,13,12,4,0,2
65,35,1,3,17,7,9,10,3,1,0
31,69,1,7,6,19,13,8,2,0,2
26,74,0,8,4,21,14,5,5,0,2
55,45,3,2,15,10,19,14,1,2,0
48,52,4,5,18,11,13,18,3,3,2
58,42,4,3,17,6,19,13,2,3,0
44,56,3,4,11,15,19,7,3,2,0
58,42,5,5,14,10,15,12,2,4,2
70,30,7,5,16,8,15,14,3,5,0
73,27,14,0,28,1,8,10,0,6,1
67,33,5,4,13,12,16,12,3,4,0
57,43,7,0,13,3,6,16,0,3,1
63,37,2,3,10,5,23,21,2,0,1
35,65,4,4,8,7,21,27,3,4,2
31,69,0,9,3,24,17,9,9,0,0
62,38,12,2,19,8,7,11,2,7,1
62,38,5,4,14,14,16,17,1,1,1
40,60,1,10,10,24,12,15,7,1,2
38,62,2,3,13,13,10,14,3,2,0
32,68,2,9,8,25,14,6,6,1,2
30,70,3,9,8,24,9,10,8,2,0
47,53,5,2,8,27,15,10,2,3,1
62,38,6,3,15,7,12,15,2,4,0
61,39,10,3,20,5,10,19,1,7,1
36,64,1,3,7,13,17,15,2,0,0
38,62,5,8,11,17,10,9,2,5,2
33,67,0,6,5,19,21,17,5,0,2
47,53,1,6,9,13,20,14,3,1,2
54,46,7,3,16,6,6,20,1,6,2
43,57,3,2,10,11,11,11,2,2,1
40,60,6,7,14,15,12,14,5,4,0
50,50,6,2,10,14,4,8,2,3,1
56,44,9,1,22,4,6,9,1,5,1
67,33,5,1,12,4,11,7,0,1,1
48,52,4,1,10,10,20,16,1,2,1
47,53,3,6,14,10,9,11,3,1,2
53,47,3,5,14,11,4,16,3,3,2
35,65,1,10,6,28,17,14,9,1,2
68,32,7,1,27,7,9,11,0,3,1
83,17,15,1,40,3,15,19,1,9,1
29,71,3,10,10,21,8,8,5,3,2
29,71,1,5,8,15,5,18,5,0,1
80,20,10,1,20,1,7,9,1,8,1
46,54,7,0,12,9,15,13,0,2,1
66,34,9,1,18,9,9,13,1,6,1
74,26,15,0,35,3,21,8,0,11,1
38,62,6,2,12,10,14,11,1,3,1
61,39,3,3,19,7,21,19,2,2,0
49,51,2,1,7,6,15,14,1,1,1
36,64,0,5,3,10,19,10,4,0,2
69,31,5,4,21,5,10,20,3,3,1
64,36,8,1,15,9,8,8,1,5,1
51,49,5,4,13,17,7,13,3,4,0
23,77,0,6,1,13,16,8,4,0,2
45,55,6,2,19,11,21,13,2,5,1
51,49,2,7,7,16,21,14,4,1,2
34,66,6,9,13,19,13,13,6,4,2
43,57,7,7,13,13,15,6,5,4,1
18,82,2,6,5,15,15,12,4,1,2
68,32,9,1,22,3,20,15,0,8,0
62,38,11,2,26,3,18,12,2,9,1
52,48,6,3,16,11,15,3,1,6,2
32,68,0,11,3,23,17,14,5,0,2
30,70,1,11,5,31,5,6,5,1,2
36,64,4,5,9,13,22,5,3,4,2
50,50,2,5,9,15,7,5,4,2,2
55,45,8,0,20,4,14,9,0,5,1
56,44,0,3,7,10,21,7,3,0,0
65,35,5,1,17,9,12,7,1,5,0
69,31,7,2,23,7,10,5,1,7,2
75,25,5,2,25,4,3,3,2,3,1
65,35,6,0,12,5,17,12,0,4,1
80,20,8,1,33,1,12,7,0,5,1
72,28,11,2,32,5,10,12,1,10,1
47,53,7,4,10,10,18,12,4,4,1
33,67,3,3,13,12,15,11,3,3,0
61,39,7,10,13,19,17,17,8,4,1
38,62,4,2,12,17,17,14,1,2,1
54,46,7,2,20,4,9,7,1,4,1
68,32,3,2,9,12,12,19,2,0,1
69,31,7,1,20,6,7,10,0,5,1
33,67,1,7,7,19,16,10,6,1,2
39,61,7,1,10,8,11,7,1,3,1
45,55,2,5,8,14,16,9,4,2,2
15,85,0,19,0,40,11,5,12,0,2
55,45,7,1,16,4,8,13,1,4,1
65,35,6,2,17,8,19,16,1,6,2
63,37,6,0,15,8,11,13,0,4,1
62,38,2,3,7,8,24,20,2,1,0
70,30,8,1,13,7,9,7,1,6,1
47,53,3,11,9,21,10,13,8,3,2
36,64,0,16,6,27,6,3,12,0,2
79,21,7,2,19,8,8,11,2,4,1
62,38,3,3,16,9,7,6,3,2,1
50,50,2,3,7,8,16,13,2,1,0
38,62,5,2,9,16,15,15,2,5,1
67,33,6,3,16,7,16,15,2,3,1
80,20,9,1,26,3,11,14,1,5,1
35,65,3,8,8,17,18,10,5,2,2
66,34,9,3,28,5,12,15,3,7,1
69,31,9,2,21,5,7,10,1,2,1
47,53,5,4,8,11,13,18,3,4,0
75,25,9,2,25,6,7,23,1,5,1
49,51,4,3,11,10,16,15,0,3,2
45,55,2,1,9,8,8,21,1,0,1
63,37,7,0,19,6,14,13,0,5,1
45,55,4,5,13,10,16,14,5,3,1
58,42,5,1,16,11,14,15,1,3,1
59,41,4,6,11,11,17,12,4,3,2
23,77,0,6,6,19,16,7,3,0,2
42,58,1,2,13,8,12,11,2,1,0
76,24,6,3,16,8,8,13,2,2,1
32,68,1,3,9,11,19,14,3,1,0
79,21,8,1,31,2,9,6,1,3,1
60,40,2,3,14,10,9,12,3,2,0
60,40,7,1,16,5,9,13,1,3,1
71,29,5,1,17,2,19,15,0,4,0
57,43,5,1,15,6,13,12,1,2,1
51,49,3,1,14,8,14,19,1,1,1
37,63,1,6,5,20,9,11,2,0,2
72,28,9,2,21,4,9,14,2,7,1
16,84,2,10,3,22,9,6,4,2,2
33,67,2,4,5,10,17,23,1,1,2
35,65,2,5,11,8,16,10,3,1,2
43,57,3,4,10,7,6,12,4,1,1
40,60,2,2,10,15,12,14,2,2,0
61,39,6,1,16,4,13,15,1,5,1
26,74,5,7,8,13,23,20,7,4,1
34,66,4,6,9,19,24,9,5,2,1
51,49,6,0,13,10,18,11,0,6,0
24,76,0,10,3,27,8,7,8,0,2
28,72,0,5,3,22,12,4,3,0,2
33,67,4,3,13,9,14,6,2,3,2
30,70,1,9,5,20,9,13,6,1,2
69,31,10,4,17,9,12,19,4,5,1
44,56,3,6,7,15,7,12,5,1,1
67,33,2,2,9,6,12,9,1,2,2
47,53,2,6,18,15,12,10,3,1,2
39,61,3,9,8,16,7,9,7,1,0
72,28,8,1,23,3,9,13,1,6,1
83,17,9,0,27,0,9,17,0,2,1
43,57,3,2,12,9,13,11,0,2,2
38,62,5,8,13,14,15,14,7,1,1
52,48,6,4,20,11,7,15,3,5,0
58,42,4,2,9,11,11,10,1,1,1
52,48,1,6,9,12,12,13,4,0,2
36,64,5,7,8,22,22,12,5,3,0
54,46,2,3,15,10,13,9,2,1,0
41,59,2,1,10,8,8,12,1,1,1
58,42,7,5,18,7,9,9,2,7,2
71,29,13,0,37,4,12,6,0,8,1
41,59,1,5,5,8,19,16,1,0,2
23,77,1,6,5,19,18,18,4,0,2
57,43,1,2,16,8,12,14,1,0,0
78,22,20,1,38,4,3,12,1,11,1
41,59,6,8,8,12,13,12,6,3,1
47,53,4,6,15,9,15,12,4,1,1
61,39,12,1,20,5,10,12,1,8,1
67,33,4,0,10,1,6,15,0,4,0
58,42,7,3,22,6,8,20,2,4,1
41,59,3,3,10,14,15,16,3,2,1
76,24,11,4,25,6,6,8,3,6,1
75,25,10,1,30,6,15,14,1,7,1
58,42,3,6,17,11,19,10,3,3,2
24,76,5,5,17,11,19,9,3,4,2
50,50,6,1,14,11,12,9,1,2,1
44,56,3,7,8,23,15,16,4,3,2
27,73,0,8,4,15,11,12,4,0,2
51,49,2,2,13,9,8,13,2,1,1
62,38,6,1,27,8,11,16,1,5,1
22,78,0,9,1,31,14,10,6,0,2
65,35,6,0,16,6,12,16,0,6,1
68,32,5,0,14,2,14,12,0,3,1
44,56,6,3,11,15,17,20,3,5,1
74,26,1,6,12,11,10,14,5,0,0
59,41,9,4,20,6,8,18,4,6,1
67,33,5,3,7,9,10,7,2,5,2
55,45,4,4,12,8,14,10,4,1,1
52,48,6,1,15,3,7,7,1,4,1
48,52,3,1,16,10,14,22,1,2,1
70,30,2,0,13,7,6,15,0,1,1
44,56,2,6,8,15,15,15,1,2,2
57,43,2,1,8,4,21,9,1,1,1
76,24,9,1,34,3,8,13,1,9,0
34,66,3,5,7,10,7,16,3,2,2
27,73,1,4,8,24,14,7,3,1,2
32,68,1,7,4,22,20,12,4,1,2
44,56,3,7,7,14,7,12,3,2,2
79,21,8,1,22,4,9,11,0,4,1
46,54,10,2,23,5,15,9,1,8,1
74,26,10,1,28,8,4,8,1,4,1
47,53,4,1,17,10,9,18,1,3,1
23,77,2,1,5,11,6,8,1,0,1
60,40,5,1,20,8,7,19,1,2,1
70,30,10,1,25,5,12,5,1,8,1
57,43,10,3,22,6,15,23,3,6,1
59,41,3,4,19,10,9,12,3,2,0
37,63,3,5,11,13,10,9,5,1,1
71,29,6,2,26,6,8,7,2,5,1
49,51,2,2,12,10,11,14,1,2,2
20,80,1,13,1,28,7,8,6,1,2
28,72,2,8,6,28,11,9,6,2,2
57,43,9,2,21,5,13,23,1,8,0
49,51,3,3,17,8,19,15,2,3,2
47,53,2,3,8,12,9,12,3,1,1
46,54,2,10,9,14,16,10,4,1,2
47,53,3,13,4,28,7,21,11,2,2
67,33,5,1,17,5,11,17,1,4,1
43,57,3,4,4,15,11,17,3,2,0
48,52,1,5,11,9,15,14,4,1,2
26,74,3,6,8,12,6,9,3,2,2
62,38,8,5,18,12,17,16,4,5,1
24,76,0,18,1,26,13,11,10,0,2
50,50,7,2,20,10,12,13,2,7,1
58,42,1,3,6,10,8,10,2,1,2
52,48,8,4,21,8,16,8,2,5,1
60,40,5,2,20,11,9,11,1,4,0
57,43,3,3,9,7,12,12,2,2,0
32,68,3,8,7,14,14,14,7,3,2
30,70,0,9,5,17,15,11,8,0,2
43,57,3,3,14,10,9,12,3,1,1
64,36,6,2,28,14,16,15,2,3,1
75,25,2,8,9,16,14,9,5,2,2
35,65,6,11,15,22,15,11,7,3,2
61,39,2,4,17,13,10,20,4,2,0
49,51,1,7,6,16,10,13,1,1,2
59,41,14,2,22,5,12,9,2,6,1
20,80,0,6,1,20,23,9,4,0,2
41,59,5,9,14,23,14,12,6,4,2
46,54,2,2,7,10,19,16,1,2,2
62,38,4,6,8,12,12,16,4,3,2
66,34,11,6,26,9,5,10,4,6,1
66,34,2,2,14,8,12,15,1,1,0
58,42,4,7,12,17,19,13,6,3,0
29,71,2,4,9,20,8,9,3,2,2
54,46,4,3,10,10,8,10,1,1,1
72,28,7,0,16,2,15,16,0,4,1
67,33,8,5,20,13,18,7,3,6,0
77,23,14,1,33,4,15,6,1,9,1
70,30,9,3,22,7,5,4,2,4,1
56,44,3,4,15,10,12,7,4,3,1
40,60,4,6,11,19,11,10,5,4,2
40,60,5,5,17,11,11,10,3,3,0
40,60,6,1,10,9,15,8,1,4,1
34,66,1,6,8,14,10,5,5,1,2
31,69,0,2,4,12,26,15,1,0,2
74,26,8,0,14,3,10,18,0,4,1
49,51,5,3,17,7,13,17,3,4,1
50,50,2,2,8,7,13,7,0,2,2
71,29,4,2,16,8,12,12,1,4,2
55,45,7,0,16,3,6,10,0,3,1
34,66,4,5,11,8,10,9,3,3,2
64,36,6,3,13,12,12,13,2,4,1
73,27,8,1,21,5,7,13,1,4,1
64,36,5,2,21,7,14,14,2,4,1
76,24,6,0,13,4,22,12,0,2,1
31,69,3,5,16,14,14,13,4,2,0
69,31,8,2,21,5,9,12,2,6,1
51,49,4,1,9,6,15,21,1,3,1
59,41,9,3,17,7,8,11,2,5,1
36,64,0,2,5,16,17,15,1,0,2
37,63,2,1,8,10,13,10,1,1,1
72,28,5,2,14,8,15,9,2,5,0
52,48,4,5,18,12,8,15,5,4,0
64,36,1,0,8,6,13,18,0,1,0
76,24,6,1,27,4,17,16,1,6,0
41,59,2,10,11,18,12,7,5,1,2
34,66,5,9,8,20,18,12,7,1,1
75,25,4,1,12,4,12,3,0,1,1
40,60,4,3,11,7,16,20,3,4,0
24,76,3,8,6,20,10,14,2,1,2
44,56,7,7,12,19,11,10,5,5,0
63,37,3,1,18,3,17,3,0,2,0
16,84,0,14,1,29,15,16,12,0,2
38,62,6,7,12,27,18,13,4,3,2
45,55,5,4,9,11,13,10,1,4,2
66,34,14,0,29,4,9,11,0,14,1
56,44,4,2,14,6,11,18,0,1,1
31,69,4,3,8,11,11,15,3,3,1
30,70,2,5,7,13,13,18,2,1,2
50,50,2,7,14,14,9,10,5,2,2
26,74,1,4,2,14,25,13,3,1,2
85,15,15,0,32,2,8,6,0,10,1
81,19,5,2,15,8,8,11,2,2,1
36,64,4,3,10,10,20,14,0,1,0
66,34,5,3,12,8,8,12,3,3,1
31,69,0,5,0,26,13,12,5,0,2
42,58,3,4,8,12,15,21,2,2,0
46,54,11,4,18,14,21,10,2,8,1
40,60,4,5,13,10,14,16,3,2,0
80,20,2,1,9,1,15,10,0,1,0
55,45,4,3,10,8,19,9,3,3,1
77,23,13,1,31,2,12,14,0,9,1
44,56,4,3,9,11,16,11,2,2,1
64,36,5,4,11,10,16,27,2,1,1
69,31,3,2,17,3,12,7,2,2,1
76,24,11,0,36,4,5,11,0,8,1
58,42,1,3,13,10,14,13,0,1,2
37,63,6,4,14,9,11,12,3,4,0
63,37,3,4,11,9,16,16,3,3,2
44,56,5,5,16,12,16,12,1,3,0
66,34,5,4,14,9,13,17,2,1,0
37,63,1,9,4,15,13,17,7,1,2
29,71,0,4,2,9,13,12,2,0,2
40,60,6,2,12,14,15,8,2,4,1
75,25,11,2,18,4,14,7,2,3,1
21,79,2,3,5,9,12,8,1,1,2
71,29,8,4,27,9,10,7,3,5,1
32,68,1,6,3,22,14,18,4,1,2
55,45,3,3,14,13,17,15,2,2,0
50,50,0,8,7,20,9,12,5,0,2
75,25,11,1,21,2,6,21,1,6,1
85,15,6,0,26,1,8,22,0,2,1
34,66,2,9,9,18,10,11,8,2,2
19,81,0,10,1,23,17,14,7,0,2
69,31,9,1,21,4,8,8,1,8,1
61,39,4,1,17,7,10,10,0,3,0
33,67,2,7,8,18,19,14,5,1,2
38,62,3,3,7,9,10,15,3,2,1
68,32,15,0,21,4,8,8,0,7,1
67,33,6,1,17,2,11,12,1,3,1
20,80,0,16,0,35,13,11,9,0,2
43,57,1,11,6,20,9,15,8,0,2
42,58,4,1,13,10,13,14,0,4,2
38,62,3,3,7,10,8,14,2,1,1
64,36,8,4,17,10,16,16,1,5,0
44,56,3,3,8,11,18,16,3,2,1
34,66,8,7,16,14,10,15,5,5,1
24,76,3,5,4,16,20,9,1,2,2
52,48,0,6,5,11,12,11,1,0,2
44,56,2,2,4,13,12,10,1,2,2
63,37,4,1,10,4,11,17,0,2,1
69,31,2,3,11,6,14,14,1,1,2
55,45,2,4,6,9,18,13,3,2,0
31,69,3,11,3,26,10,10,7,2,2
34,66,2,11,7,29,14,13,9,2,2
26,74,4,8,12,20,14,5,4,3,2
70,30,3,1,14,3,17,17,1,3,0
21,79,1,5,4,26,10,15,3,1,2
65,35,6,2,12,7,9,13,2,3,1
81,19,11,1,24,3,9,10,0,8,1
71,29,10,2,28,5,7,14,1,9,0
63,35,11,2,16,8,5,18,2,2,1
66,34,5,2,10,6,20,22,1,2,1
60,40,6,3,17,11,12,20,2,4,1
64,36,13,6,21,12,14,16,6,8,1
57,43,5,4,19,14,18,17,3,4,0
66,34,9,1,16,5,19,17,1,6,1
37,63,4,5,16,9,26,11,5,3,1
58,42,4,1,20,7,18,17,0,0,1
57,43,4,2,10,9,22,13,2,2,1
29,71,5,2,12,14,17,13,2,3,1
61,39,6,3,24,17,16,7,2,5,0
58,42,4,5,5,14,17,18,5,2,1
59,41,5,8,25,15,12,10,7,4,0
71,29,7,3,17,9,11,20,2,4,1
61,39,9,1,15,10,23,12,1,8,1
48,52,8,3,16,14,14,9,3,4,1
64,36,10,1,18,12,19,17,1,7,1
60,40,4,5,13,15,21,20,3,3,2
67,33,12,8,31,16,8,11,7,11,0
37,63,4,2,10,8,20,18,2,2,1
64,36,8,3,29,8,14,15,1,5,1
40,60,5,9,13,14,15,17,4,3,2
48,52,6,6,15,9,26,17,3,3,0
58,42,5,4,12,8,13,7,4,4,1
61,39,5,3,28,9,11,13,2,4,0
61,39,6,5,18,9,15,13,4,3,1
77,23,5,4,15,8,13,13,3,3,1
54,46,5,6,14,11,20,10,4,4,2
32,68,4,6,16,12,22,13,4,1,1
59,41,2,3,13,8,25,12,2,1,0
68,32,6,6,21,12,16,17,4,6,2
52,48,4,2,10,10,21,12,1,2,1
56,44,1,1,13,7,19,18,0,1,2
50,50,6,1,13,13,18,12,1,3,1
67,33,5,3,12,8,14,24,1,5,2
69,31,9,2,19,6,12,17,2,7,1
34,66,4,4,12,12,20,23,4,1,1
39,61,3,4,11,10,18,15,4,3,0
67,33,5,3,15,7,10,16,2,2,1
33,67,5,8,15,11,10,17,4,2,2
72,28,9,5,23,8,24,17,3,5,1
61,39,6,3,20,9,14,11,2,4,1
67,33,4,4,12,14,13,21,3,3,0
48,52,2,4,13,10,12,20,3,1,0
54,46,3,3,12,8,16,25,2,2,1
54,46,2,3,12,10,15,19,2,1,2
57,43,6,6,24,11,15,16,3,4,2
66,34,6,3,20,4,13,13,2,3,1
27,73,7,6,10,14,16,16,6,4,1
60,40,5,3,14,9,21,18,2,2,1
66,34,9,5,22,7,26,16,2,7,2
71,29,5,3,31,9,12,10,1,3,0
55,45,2,2,12,8,10,17,0,1,2
67,33,6,7,17,15,15,18,5,4,0
62,38,4,7,8,12,20,16,5,2,0
40,60,8,2,17,6,15,22,1,5,1
55,45,6,2,15,8,7,11,2,4,1
80,20,8,2,23,3,7,21,2,5,1
