hPossesion,aPossesion,hshotsOnTarget,ashotsOnTarget,hshots,ashots,hfouls,afouls,hsaves,asaves,label
36,64,2,4,13,13,17,15,0,1,2
35,65,5,9,13,19,18,12,7,3,0
57,43,11,4,24,8,12,26,4,8,1
55,45,6,4,12,10,21,13,4,4,2
39,61,2,5,7,16,18,11,2,2,2
56,44,1,2,6,9,21,19,2,0,1
30,70,5,2,13,9,17,13,1,3,1
54,46,6,2,13,9,17,20,2,2,1
31,69,3,6,10,15,14,15,4,1,0
75,25,4,3,12,8,13,21,3,4,1
63,37,5,0,15,5,13,16,0,3,1
44,56,7,3,12,9,16,23,2,5,1
45,55,9,1,20,9,11,8,1,6,1
49,51,7,1,16,8,20,22,1,4,1
51,49,5,1,10,5,24,19,0,4,2
71,29,9,1,19,3,16,12,1,4,1
45,55,4,6,19,12,12,16,4,2,0
49,51,7,5,12,14,19,13,2,5,0
61,39,5,4,11,10,14,16,2,2,0
70,30,5,3,18,9,16,16,2,5,2
69,31,7,2,17,10,16,12,1,5,1
34,66,2,5,13,14,14,16,3,2,2
63,37,3,1,20,5,15,9,1,3,0
37,63,3,2,7,8,20,22,1,1,1
43,57,3,12,5,21,19,15,9,2,2
46,54,5,2,13,10,23,22,2,1,1
32,68,12,1,20,8,12,21,1,7,1
61,39,6,3,23,10,18,9,3,6,1
69,31,9,2,24,8,8,11,2,6,1
46,54,5,0,10,9,22,23,0,2,1
60,40,3,5,10,10,14,14,4,0,1
39,61,2,4,7,14,11,17,2,2,2
74,26,7,1,21,2,13,9,1,6,1
44,56,5,3,6,11,17,14,2,3,1
31,69,4,7,19,11,16,11,3,3,2
40,60,2,1,8,6,27,17,1,1,1
47,53,5,5,10,12,11,16,3,2,0
47,53,5,6,10,15,19,10,6,2,1
57,43,1,3,7,8,16,16,1,1,2
70,30,9,5,24,16,16,17,5,6,1
67,33,7,0,23,2,16,26,0,4,1
58,42,3,4,20,12,21,15,3,1,1
41,59,5,6,14,12,20,20,6,5,0
73,27,3,4,10,10,12,13,2,3,2
20,80,2,3,8,10,15,14,3,2,0
75,25,9,1,16,6,17,17,1,7,1
63,37,6,2,11,7,15,11,1,4,1
45,55,4,1,19,10,17,5,1,3,1
48,52,4,3,10,13,12,15,2,3,0
62,38,3,6,10,16,15,12,5,2,2
76,24,6,2,21,7,15,15,1,6,0
48,52,3,1,11,9,16,13,0,2,2
38,62,1,13,9,20,20,9,11,1,0
48,52,3,3,14,12,13,16,3,3,0
66,34,6,1,22,2,14,20,1,6,0
51,49,4,4,10,11,14,19,3,2,1
67,33,8,4,13,10,16,15,2,6,2
61,39,8,1,15,8,25,19,1,5,1
55,45,3,7,9,13,23,17,4,2,2
58,42,4,5,16,11,16,21,4,4,2
66,34,1,5,9,9,17,16,4,1,0
56,44,13,2,22,6,9,8,2,9,1
60,40,6,4,12,10,16,16,2,4,0
51,49,2,3,9,6,13,20,2,0,1
58,42,2,0,8,4,14,19,0,1,1
58,42,6,3,8,11,21,13,3,3,1
69,31,9,1,20,3,13,8,1,5,1
57,43,3,3,10,16,15,11,1,2,2
51,49,7,2,17,6,12,11,0,3,1
33,67,2,3,10,8,17,14,2,2,2
34,66,6,9,7,13,22,15,5,4,2
46,54,3,4,6,10,16,18,2,1,0
38,62,6,6,18,12,12,10,3,4,2
68,32,5,2,15,6,11,16,1,4,0
63,37,2,4,11,6,17,18,1,2,2
49,51,5,4,10,8,13,16,4,3,1
74,26,3,1,11,4,13,12,1,2,1
53,47,9,2,14,10,17,17,1,3,1
35,65,5,1,14,11,10,6,0,3,1
76,24,5,2,18,7,12,13,0,3,0
41,59,0,4,5,6,16,12,2,0,2
53,47,1,3,10,13,17,14,1,1,2
53,47,7,6,18,11,14,11,5,5,1
57,43,2,4,12,7,11,10,4,2,0
54,46,7,1,16,7,17,15,0,6,0
49,51,2,4,12,11,13,18,1,2,2
66,34,7,0,16,3,12,16,0,5,1
69,31,5,3,15,8,10,17,1,4,2
44,56,4,3,14,7,10,19,3,4,0
48,52,5,8,12,15,27,18,6,3,0
50,50,3,4,10,13,20,10,2,3,2
77,23,9,1,29,8,14,12,0,6,0
35,65,1,4,7,13,15,18,3,1,2
64,36,6,2,17,5,10,18,2,5,1
68,32,3,2,13,5,18,18,0,3,2
39,61,4,3,8,7,21,6,3,3,1
66,34,6,5,18,8,16,6,3,3,1
68,32,2,2,15,5,10,30,1,1,0
48,52,5,1,11,8,13,26,1,1,1
48,52,3,2,3,10,15,12,1,1,1
63,37,8,0,13,4,12,23,0,2,1
65,35,4,4,14,7,30,18,3,2,1
40,60,4,3,16,11,9,12,2,1,1
48,52,2,6,8,16,15,13,3,2,2
65,35,2,3,10,8,16,16,3,2,0
69,31,2,2,6,11,23,21,1,1,0
36,64,2,2,8,9,12,21,2,1,1
50,50,7,7,19,14,8,18,2,6,2
65,35,7,5,17,12,18,19,3,6,2
43,57,5,4,9,18,8,18,3,3,0
72,28,8,3,22,8,18,13,1,7,2
45,55,2,5,9,7,13,15,3,1,0
59,41,5,0,12,4,16,10,0,4,1
45,55,1,3,9,10,20,18,3,1,0
77,23,6,5,14,10,10,18,4,6,2
54,46,3,0,20,2,12,23,0,3,0
39,61,4,5,7,15,22,5,4,1,1
47,53,2,2,7,6,15,16,2,2,0
44,56,3,2,5,8,16,23,2,1,1
49,51,4,1,11,12,13,12,1,3,1
53,47,1,6,6,15,17,13,2,0,2
52,48,1,11,5,20,15,13,9,0,2
42,58,2,8,5,12,21,13,6,2,2
73,27,9,0,20,2,18,12,0,6,1
56,44,6,2,17,8,10,19,1,4,1
72,28,3,2,13,5,12,24,1,3,2
46,54,2,6,10,11,26,26,5,1,0
48,52,9,3,19,5,15,21,1,7,0
45,55,1,2,6,16,30,11,2,1,0
58,42,4,4,12,12,12,23,3,2,1
58,42,1,6,7,8,24,23,4,1,2
71,29,5,3,18,6,9,10,3,5,0
61,39,1,4,2,6,9,12,3,0,0
64,36,7,4,21,5,11,10,3,6,0
50,50,9,0,18,6,21,19,0,5,1
58,42,5,5,14,11,15,16,4,3,1
45,55,7,1,12,13,20,17,0,5,1
55,45,4,5,11,11,21,18,4,4,2
45,55,6,7,9,10,26,21,5,4,2
35,65,7,7,10,16,21,11,6,4,1
70,30,7,4,12,7,9,17,3,4,1
55,45,9,5,18,6,17,17,4,9,0
58,42,4,5,7,8,21,16,4,3,2
56,44,7,6,11,14,28,22,5,6,1
49,51,9,8,17,13,14,6,1,4,2
53,47,4,3,8,7,16,20,2,2,1
42,58,2,6,6,11,14,21,5,0,1
45,55,5,4,11,17,19,22,4,4,0
51,49,3,8,8,18,20,21,7,3,0
41,59,3,3,9,6,20,17,1,3,2
67,33,6,5,11,9,14,18,3,6,2
54,46,4,5,13,13,14,15,5,2,1
50,50,3,6,6,15,19,10,5,3,2
44,56,12,5,19,12,17,16,5,11,1
54,46,12,6,23,9,9,13,3,10,2
57,43,4,7,11,9,21,19,4,3,2
57,43,11,3,24,4,11,11,0,13,1
54,46,6,8,12,12,8,16,5,6,2
56,44,6,4,14,16,13,11,4,5,1
46,54,1,6,6,25,10,8,7,1,0
60,40,4,8,8,19,13,14,6,4,1
43,57,4,11,10,19,14,22,8,7,2
53,47,5,5,8,7,22,19,4,6,1
42,58,2,9,10,22,27,19,8,4,2
55,45,11,3,22,9,23,11,6,10,1
52,48,3,4,10,10,13,16,1,3,2
48,52,13,8,18,21,8,20,7,15,1
59,41,7,3,21,11,17,17,5,6,1
49,51,6,3,12,7,16,18,5,8,0
52,48,8,4,19,8,18,19,4,6,1
50,50,11,3,19,6,9,12,5,9,1
45,55,2,10,6,20,15,11,4,4,0
49,51,10,3,23,8,20,14,5,8,1
54,46,6,4,19,13,12,22,4,4,1
67,33,8,3,26,9,15,16,3,6,1
52,48,13,4,21,18,18,15,5,10,1
50,50,10,2,13,6,12,19,8,5,1
50,50,8,9,11,18,22,16,6,7,1
55,45,6,1,14,10,17,19,5,13,0
63,37,9,3,19,8,18,17,4,7,1
47,53,7,9,17,20,12,20,9,9,2
54,46,4,3,11,10,13,22,2,3,0
51,49,4,5,14,18,18,19,7,9,0
53,47,6,4,18,14,9,23,6,5,1
52,48,7,3,17,6,20,10,3,4,0
63,37,13,2,29,4,14,20,2,9,1
51,49,6,9,11,16,19,25,5,3,1
51,49,5,10,10,18,18,13,14,11,2
49,51,2,16,9,28,21,20,8,0,2
64,36,10,3,26,5,10,20,3,11,1
50,50,6,7,15,15,13,18,7,4,2
46,54,3,9,9,18,20,17,4,6,2
55,45,7,3,13,10,16,20,3,9,1
46,54,5,7,12,18,19,11,8,2,0
54,46,12,8,20,17,18,21,7,12,0
50,50,6,6,13,15,22,15,7,5,1
64,36,17,4,29,10,13,19,1,7,1
50,50,3,2,12,12,20,16,6,6,0
49,51,7,7,13,18,17,16,5,11,2
45,55,3,4,9,10,30,15,7,3,1
46,54,6,7,12,15,17,21,7,5,0
37,63,3,16,9,24,9,5,12,4,2
37,63,3,14,8,22,21,21,17,6,2
56,44,5,3,7,10,17,24,5,7,1
51,49,5,7,12,17,7,19,7,6,1
37,63,1,12,8,20,20,11,16,3,2
47,53,7,5,17,13,23,30,4,6,0
59,41,9,4,14,15,14,24,4,4,1
51,49,4,4,10,13,13,22,3,4,1
51,49,6,8,11,25,9,12,6,5,1
42,58,7,4,12,10,17,24,7,5,1
51,49,5,2,14,16,22,18,6,8,0
51,49,10,9,13,22,16,22,7,7,1
56,44,5,7,10,10,28,22,5,4,2
42,58,6,11,18,18,19,19,10,3,2
49,51,7,15,13,26,18,10,12,9,0
44,56,5,5,13,15,19,17,5,5,2
48,52,5,10,16,17,14,15,8,7,1
51,49,2,7,6,14,15,24,6,1,0
51,49,6,3,11,6,16,10,4,6,2
42,58,5,5,9,14,17,13,2,2,0
44,56,3,3,7,20,13,20,6,6,0
49,51,4,2,17,6,14,11,2,2,1
65,35,7,1,20,12,7,8,1,6,1
57,43,6,4,18,12,12,14,3,5,0
48,52,2,3,10,7,17,11,2,2,2
50,50,2,1,14,15,10,16,0,2,2
56,44,9,2,17,11,10,18,2,5,1
65,35,6,3,19,11,13,21,3,5,1
42,58,2,2,3,9,20,29,2,1,1
57,43,5,1,10,7,15,14,0,4,0
49,51,2,2,10,14,17,15,1,1,0
44,56,2,1,8,7,17,14,1,2,0
63,37,10,3,26,11,9,10,2,8,1
43,57,2,5,7,20,15,21,4,2,2
63,37,8,3,24,8,8,21,1,7,2
50,50,3,6,10,19,14,10,3,3,2
56,44,11,2,22,13,19,19,1,7,1
56,44,11,4,27,10,13,15,3,8,1
53,47,4,5,13,12,23,25,3,4,2
51,49,4,3,15,9,19,10,0,3,2
48,52,4,6,7,14,15,18,4,2,0
47,53,6,1,15,11,13,13,1,6,0
61,39,5,3,9,10,18,11,3,4,1
50,50,6,5,22,8,22,18,4,4,0
54,46,8,6,23,13,9,12,3,6,2
51,49,1,5,6,11,14,18,3,1,2
57,43,7,1,23,3,11,25,0,5,0
56,44,6,4,12,10,17,23,3,3,1
45,55,8,5,14,15,12,12,3,6,1
51,49,6,6,20,16,11,19,4,5,2
55,45,13,4,26,15,18,3,4,4,1
58,42,7,1,20,7,19,26,1,6,1
57,43,7,0,22,9,9,19,0,3,1
50,50,4,10,10,21,10,12,7,3,2
59,41,2,5,11,15,20,13,4,2,2
33,67,3,12,7,22,15,8,9,0,2
45,55,4,8,11,16,22,12,6,2,0
45,55,6,8,13,13,19,20,6,6,2
51,49,10,4,22,19,11,21,4,9,1
45,55,7,6,17,23,25,10,5,5,1
45,55,5,6,17,13,11,5,6,3,2
58,42,5,0,17,4,13,19,0,5,0
50,50,4,6,12,16,20,17,3,1,1
51,49,3,8,15,15,18,15,5,2,2
56,44,7,10,19,15,23,10,7,5,2
39,61,4,15,8,28,13,16,9,4,2
39,61,3,5,13,19,11,18,5,3,0
41,59,4,3,9,9,21,13,1,3,2
56,44,5,2,17,8,12,17,2,5,0
48,52,7,9,17,19,7,6,6,2,1
51,49,6,6,11,16,11,26,3,3,1
52,48,9,3,16,12,17,19,2,7,1
50,50,6,3,17,15,14,18,2,3,1
58,42,6,6,18,16,26,29,4,6,0
61,39,10,3,19,9,13,18,3,9,1
51,49,5,4,11,15,20,20,3,3,1
48,52,7,10,19,30,23,23,4,7,0
53,47,7,6,20,18,20,14,2,7,2
40,60,4,6,9,16,25,12,2,3,2
43,57,5,6,13,19,28,19,5,5,2
47,53,6,7,12,11,15,16,4,4,2
49,51,2,5,5,13,9,7,4,2,2
47,53,7,7,16,18,13,11,4,4,2
58,42,9,4,14,10,5,21,3,3,1
58,42,5,4,9,10,11,12,1,3,1
57,43,6,11,9,13,5,18,5,3,2
62,38,9,6,11,13,9,18,3,2,1
46,54,8,7,12,12,19,14,4,3,1
54,46,5,4,9,12,20,18,1,2,2
48,52,8,5,18,12,8,12,1,4,2
57,43,10,4,20,7,12,13,2,4,1
56,44,12,6,18,10,9,15,3,5,1
63,37,10,2,20,4,13,14,1,2,1
55,45,5,11,11,16,10,14,5,3,1
54,43,9,9,13,14,8,11,4,2,1
37,63,3,6,7,10,18,16,4,1,0
59,41,8,7,21,8,10,12,3,4,2
65,35,10,1,16,3,21,18,0,6,1
53,47,8,3,14,13,13,18,2,6,0
48,52,10,6,16,10,15,7,4,4,0
48,52,8,14,10,15,18,25,7,2,2
56,44,9,4,15,7,14,15,2,6,2
49,51,7,14,18,21,11,9,6,1,2
45,55,8,12,11,15,11,14,4,4,1
38,62,6,8,10,13,17,12,5,3,1
68,32,11,5,16,9,23,18,4,5,0
58,42,6,6,10,10,10,24,4,4,2
57,43,8,16,17,22,12,16,8,3,2
49,51,9,5,16,8,15,17,2,4,2
70,30,9,4,19,8,8,14,3,4,1
59,41,6,10,11,20,11,17,5,2,0
46,54,13,10,20,18,9,7,7,9,1
53,47,6,6,11,13,13,9,3,1,1
54,46,6,8,9,15,13,16,1,2,2
48,52,10,9,15,20,11,14,4,2,0
49,51,13,5,23,13,28,23,1,6,0
51,49,4,4,9,16,19,17,4,2,1
45,55,0,8,4,11,14,9,2,0,2
36,64,8,1,13,7,26,14,1,3,1
46,54,6,18,12,19,14,19,6,0,2
55,45,5,7,10,12,18,12,1,1,2
47,53,3,3,4,8,17,17,1,2,0
55,45,5,9,9,14,19,20,4,1,2
46,54,5,9,13,13,13,23,3,2,1
56,44,13,9,23,13,10,19,0,6,2
62,38,9,5,13,7,20,17,1,3,1
43,57,7,13,12,18,17,6,9,1,2
40,60,7,13,11,20,17,6,9,2,0
61,39,6,13,13,16,17,18,7,3,2
54,46,10,6,19,18,21,16,3,6,1
37,63,1,9,4,13,15,9,5,0,2
47,53,6,7,8,10,15,14,4,5,0
51,49,12,11,18,16,16,11,7,6,2
50,50,9,6,13,8,15,18,2,5,2
51,49,6,5,12,11,31,23,0,3,1
55,45,8,7,14,12,8,12,5,2,1
43,57,2,13,6,24,23,16,7,0,0
51,49,7,4,10,10,11,14,1,1,1
64,36,15,3,20,6,15,13,1,7,0
53,47,5,2,13,9,12,15,2,4,1
70,30,22,7,29,11,11,20,3,10,1
61,39,22,7,29,14,19,28,4,8,1
48,52,26,9,38,14,27,11,4,15,1
51,49,13,12,18,14,11,14,3,7,2
53,47,4,5,7,8,15,10,4,1,0
58,42,5,5,11,8,16,20,1,2,2
64,36,5,0,10,10,20,16,1,4,1
41,59,7,0,13,6,22,10,0,2,1
43,58,3,4,8,14,12,6,3,3,2
63,37,3,2,13,8,22,14,2,2,2
38,62,3,5,8,12,12,10,2,0,0
51,49,5,1,13,4,16,19,1,4,1
73,27,7,3,26,9,10,15,1,6,0
52,48,6,3,17,10,10,18,2,6,2
53,47,2,2,11,14,20,16,2,1,1
50,50,3,3,10,10,18,15,2,3,2
61,39,9,4,25,12,10,15,3,9,2
54,46,4,2,20,6,12,19,1,3,0
52,48,5,0,15,5,20,23,0,3,1
60,40,6,2,15,6,17,18,2,3,1
40,60,1,7,6,17,14,8,5,0,2
42,58,3,6,8,14,15,9,4,2,2
59,41,4,2,10,8,8,15,1,3,2
46,54,3,1,11,13,11,10,0,1,1
46,54,2,4,10,16,19,23,4,1,1
47,53,4,3,13,8,10,13,3,3,1
32,68,0,3,5,17,14,14,2,0,2
48,52,5,5,10,14,7,5,4,5,0
44,56,4,2,12,10,12,14,2,3,1
58,42,3,5,10,15,15,23,2,3,2
69,31,9,0,23,4,11,11,0,7,1
56,44,4,3,16,10,9,10,3,2,1
42,58,3,5,12,20,17,12,3,2,2
52,48,12,5,23,15,12,13,3,6,1
42,58,6,5,17,13,24,7,3,5,2
71,29,5,6,16,8,12,13,4,4,1
57,43,7,2,12,8,14,13,1,1,1
53,47,3,7,7,13,8,14,5,1,0
45,55,2,3,9,13,15,10,0,2,2
41,59,4,4,9,9,21,15,1,0,1
39,61,3,5,6,20,13,13,4,1,1
62,38,7,1,22,8,7,16,0,5,1
56,44,7,1,17,3,17,18,1,5,1
33,67,2,4,8,14,16,10,3,1,0
69,31,4,3,16,6,5,17,1,2,0
53,47,2,3,14,4,13,12,1,2,2
38,62,1,4,5,11,10,10,4,1,0
41,59,6,2,17,13,10,12,0,5,2
35,65,3,4,9,8,20,15,2,2,2
65,35,3,5,19,13,14,11,3,3,2
30,70,5,6,11,26,16,7,6,3,1
44,56,1,6,10,13,13,7,4,1,2
60,40,3,6,12,14,9,14,5,1,0
54,46,3,2,10,11,11,8,1,3,2
44,56,3,2,8,4,15,15,1,3,2
48,52,1,4,13,15,11,14,3,1,2
36,64,4,7,9,15,18,19,5,4,2
43,57,4,2,11,11,16,15,0,4,2
57,43,9,3,26,8,14,16,2,9,2
74,26,9,1,25,6,5,19,0,9,0
53,47,7,3,22,15,5,19,2,7,0
46,54,10,1,21,13,6,18,1,8,1
56,44,8,4,24,11,13,9,2,5,1
36,64,3,4,12,18,11,13,4,2,1
48,52,4,2,14,16,23,13,1,3,0
43,57,3,2,7,12,10,7,0,3,2
36,64,7,3,13,17,25,18,1,5,0
39,61,6,3,8,15,14,13,1,3,1
40,60,5,3,19,9,6,16,3,4,1
54,46,7,1,22,11,23,14,0,5,1
43,57,4,5,12,15,11,5,5,2,1
60,40,7,2,16,4,15,16,2,5,1
67,33,7,1,21,5,10,14,1,6,1
26,74,4,3,6,9,7,10,3,2,1
37,63,1,9,3,17,19,9,6,0,2
68,32,2,1,6,7,22,19,1,1,1
65,35,5,2,19,9,19,17,1,2,1
29,71,0,9,1,22,10,6,5,0,2
